onset	duration	reaction_time	trial_number	trial_type	button_pressed	action	explode_trial	trial_value	trial_cumulative_value	payoff_level	onset_orig	duration_orig	trial_type_orig
179.582064804	2	0.544255808000344	10	BALOON	y	CASHOUT	0	0	1.75	0.25	179.5821	2	reject
183.183287177	2	0.25057587099991	11	BALOON	b	ACCEPT	1	0.25	0.75	0.25	183.1833	2	accept
185.307701143	2	0.245518822000122	11	BALOON	b	ACCEPT	1	0.25	1	0.25	185.3077	2	accept
186.718187643	2	0.259964680999929	11	BALOON	b	ACCEPT	1	0.25	1.25	0.25	186.7182	2	accept
188.941949473	2	0.314970904999882	11	BALOON	b	ACCEPT	1	0.25	1.5	0.25	188.9419	2	accept
190.419022987	2	0.302682960999846	11	BALOON	b	ACCEPT	1	0.25	1.75	0.25	190.419	2	accept
191.746880247	2	0	11	BALOON	n/a	EXPLODE	1	0	1.75	0.25	191.7469	2	explode
194.783804437	2	0.209593590000168	12	BALOON	b	ACCEPT	1	0.25	0.75	0.25	194.7838	2	accept
196.277405033	2	0.228338892000011	12	BALOON	b	ACCEPT	1	0.25	1	0.25	196.2774	2	accept
198.086504216	2	0.227016499999991	12	BALOON	b	ACCEPT	1	0.25	1.25	0.25	198.0865	2	accept
199.496932098	2	0.288088457000413	12	BALOON	b	ACCEPT	1	0.25	1.5	0.25	199.4969	2	accept
201.538289346	2	0.359295626999938	12	BALOON	b	ACCEPT	1	0.25	1.75	0.25	201.5383	2	accept
203.894919575	2	0.427296384999863	12	BALOON	b	ACCEPT	1	0.25	2	0.25	203.8949	2	accept
206.301358238	2	0	12	BALOON	n/a	EXPLODE	1	0	2	0.25	206.3014	2	explode
212.806867168	2	0.299518053999691	13	BALOON	b	ACCEPT	0	0.25	0.75	0.25	212.8069	2	accept
214.765075696	2	0.246468045999791	13	BALOON	b	ACCEPT	0	0.25	1	0.25	214.7651	2	accept
216.623791337	2	0.258263442000043	13	BALOON	b	ACCEPT	0	0.25	1.25	0.25	216.6238	2	accept
218.316617238	2	0.277366560999781	13	BALOON	b	ACCEPT	0	0.25	1.5	0.25	218.3166	2	accept
219.810450392	2	0.33548025500022	13	BALOON	b	ACCEPT	0	0.25	1.75	0.25	219.8105	2	accept
221.602659671	2	0.384636451000006	13	BALOON	b	ACCEPT	0	0.25	2	0.25	221.6027	2	accept
223.710209759	2	0.395343247000255	13	BALOON	y	CASHOUT	0	0	2	0.25	223.7102	2	reject
227.377936975	2	0.280364895000275	14	BALOON	b	ACCEPT	1	0.25	0.75	0.25	227.3779	2	accept
229.53538923	2	0.00321334799991746	14	BALOON	b	ACCEPT	1	0.25	1	0.25	229.5354	2	accept
231.311104743	2	0.281827906999752	14	BALOON	b	ACCEPT	1	0.25	1.25	0.25	231.3111	2	accept
233.485196559	2	0.268924825999875	14	BALOON	b	ACCEPT	1	0.25	1.5	0.25	233.4852	2	accept
235.742257618	2	0.420398034999835	14	BALOON	b	ACCEPT	1	0.25	1.75	0.25	235.7423	2	accept
237.468307912	2	0.476940654999908	14	BALOON	b	ACCEPT	1	0.25	2	0.25	237.4683	2	accept
239.409947492	2	0	14	BALOON	n/a	EXPLODE	1	0	2	0.25	239.4099	2	explode
244.421905179	2	0.779110424999999	15	BALOON	b	ACCEPT	0	0.25	0.75	0.25	244.4219	2	accept
246.363551412	2	0.311269148000065	15	BALOON	b	ACCEPT	0	0.25	1	0.25	246.3636	2	accept
248.68693875	2	0.242136446000131	15	BALOON	b	ACCEPT	0	0.25	1.25	0.25	248.6869	2	accept
250.711679612	2	0.266008055000384	15	BALOON	b	ACCEPT	0	0.25	1.5	0.25	250.7117	2	accept
252.537212001	2	0.352613125000062	15	BALOON	b	ACCEPT	0	0.25	1.75	0.25	252.5372	2	accept
254.32950963	2	0.343605371999729	15	BALOON	y	CASHOUT	0	0	1.75	0.25	254.3295	2	reject
258.478470248	2	0.252163109999856	16	BALOON	b	ACCEPT	1	0.25	0.75	0.25	258.4785	2	accept
